ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
4249,Afghanistan,AFG,Kabul,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,the ministry has prepared 100 bed to control this virus in Kabul and 200 others in the province hospital with all the facilities needed in the country.,,02/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R,07/04/2020,
4250,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,,,,02/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R,07/04/2020,
4251,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,No,"Print, publishing and sending advertising materials about health services. Publishing messages in hospitals, building video guidance at ports of entry, making a clear part of the passengers's location, creating a clear section on the ministry's website to publish the content related to coronavirus. ",,04/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1013023885733457?__tn__=-R,07/04/2020,
4252,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,"The Ministry of public health has created the special part of the control of the ""Corona"" virus in the Afghan-Japan hospital. This section has a hundred bed filled with all facilities.",,04/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1013057475730098?__tn__=-R,07/04/2020,
4253,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,"review list of equipment, medical requirements for health facilities and increase of supplies, the list of health staff and services of the Afghan-Japan hospital and the order list of the necessary items. ",,06/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1014455592256953?__tn__=-R,07/04/2020,
4254,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,Yes,the launch of education programs for doctors to handle COVID-19,,08/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1015946255441220?__tn__=-R,07/04/2020,
4255,Afghanistan,AFG,Kabul,,Asia,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Established specific areas for quarantine in Kabul and in the provinces for the control of COVID-19,,12/02/2020,Afghanistan MoPH,Government,http://tinyurl.com/rsfhsz9,07/04/2020,http://tinyurl.com/twpqsek 
4256,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,No,Monitoring and surveillance increased at nationwide hospitals to improve the quality of health services,,13/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1019580341744478?__tn__=-R,07/04/2020,
4257,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Other public health measures enforced,No,"strengthen the screened teams in the air, borders and port, creating a joint committee to review the risk of transmitting coronavirus through iimported items ",,20/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1025043844531461?__tn__=-R,07/04/2020,
4258,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Prioritizing disinfecting of health centers and early-response needs. Provide more training for health care workers on how to keep themselves safe. ,,22/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1026689324366913?__tn__=-R,07/04/2020,
4259,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,Yes,Avoid domestic travel to the Herat province. ,,24/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,07/04/2020,
4260,Afghanistan,AFG,Herat Province,,Asia,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,Yes,State of emergency in Herat province. ,,24/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,07/04/2020,
4261,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,No,"Awareness campaign expands to include avoiding kissing, weddings, meetings, funerals, and other social luxuries. ",,24/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,07/04/2020,
4262,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,General recommendations,Yes,"Those who have traveled to Iran in the last month, especially in the city, if they are having fever, cough and breath, soon visit one of the health centers or Call on 166 so that the health teams can help them.",,24/02/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,07/04/2020,
4263,Afghanistan,AFG,Midday Province,,Asia,Introduction / extension of measures,Movement restrictions,Border checks ,Yes,"Increased the screened teams on the ground and air border, especially the provinces of the border with Iran to identify the people with this virus (Midday Province). ",,01/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1030421290660383?__tn__=-R,07/04/2020,
4264,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,"Medical students are now allowed to practice, in order to build capacity ",,02/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1033521473683698?__tn__=-R,07/04/2020,
4265,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,"The Ministry of Public Health has used 97 % of its budget which was 16 billion afghani. Creating 100 new health centers in needed places, increase 1600 bed in health centers, cover of 930 thousand children live in health centers. 50,000 diagnostic kits + 50,000 diagnostic kits from Arab Emirates ",,05/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1035670270135485?__tn__=-R,07/04/2020,https://www.facebook.com/af.moph/posts/1035892706779908?__tn__=-R
4266,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Other public health measures enforced,No,Sanitizing public spaces,,07/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1037390043296841?__tn__=-R,07/04/2020,
4267,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,No,New awareness campaign to “prevent the spread of coronavirus” ,,11/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1040295806339598?__tn__=-R,07/04/2020,
4268,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Social distancing,Schools closure ,No,"School closures until ""the end of the month"" (Afghanistan uses the Solar Hijri calendar) ",,15/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1043286092707236?__tn__=-R,07/04/2020,
4269,Afghanistan,AFG,Herat Province,,Asia,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,Yes,"Installed new heat censor machines to detect fever at passengers coming through ports of entry into the country and ports into and out of Herat Province (the epicenter of the outbreak in Afghanistan, at this point in time). ",,19/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1046184142417431?__tn__=-R,07/04/2020,
4270,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,Yes,"If you have come back from the countries of Iran, China, Italy and South Korea within the last 2 weeks, or you have been in touch with people who have returned from these countries and have a fever, cough, loss and breath at this number. Please get in touch so that the health teams of the ministry of public health will help you too.",,19/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1046229059079606?__tn__=-R,07/04/2020,
4271,Afghanistan,AFG,Herat Province,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Coronavirus diagnostic lab was opened in Herat Province,,19/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1046491739053338?__tn__=-R,07/04/2020,
4272,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,No,“Emergency state” announced but people are not cooperating in Herat ,,20/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1047448245624354?__tn__=-R,07/04/2020,
4273,Afghanistan,AFG,Mazar-e-Sharif,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,"In addition to the National Public Health Lab in Kabul, an additional lab in Herat began COVID-19 testing on March 22, and a lab in Mazar-e-Sharif is planned to begin operations soon.  Total testing capacity once the additional labs are operating is expected to be 150-250 tests per day.",,22/03/2020,US Embassy,Government,https://af.usembassy.gov/covid-19-information/,07/04/2020,
4274,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Social distancing,Limit public gatherings,No,People should avoid official and non-official protests (gatherings?) to prevent the spread of coronavirus. ,,22/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1048731302162715?__tn__=-R,07/04/2020,
4275,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Call for more health care workers to be employed by the government in the fight against covid-19  ,,25/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1051043478598164?__tn__=-R,07/04/2020,https://www.facebook.com/af.moph/posts/1054941988208313?__tn__=-R
4276,Afghanistan,AFG,Kabul,,Asia,Introduction / extension of measures,Lockdown,Partial lockdown,Yes,"The Afghan Ministries of Public Health and Interior jointly announced that the city of Kabul would be placed on lockdown for 21 days due to spread of the COVID-19 coronavirus. Residents may only move outside their homes to obtain essential food and medicine; and provide caregiving. According to the government, vehicles carrying more than four passengers, as well as buses, are prohibited from traveling in and out of Kabul. ",,28/03/2020,US Embassy,Government,https://af.usembassy.gov/message-for-u-s-citizens-movement-restrictions-in-kabul-march-27-2020/,07/04/2020,
4277,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,General recommendations,Yes,"U.S.A. is added to the list of countries that, if you’ve traveled there in the past 2 weeks, you could have the virus.",,28/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1053537348348777?__tn__=-R,07/04/2020,
4278,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,General recommendations,Yes,"MoPH asks people not to come to health center for testing because it wastes resources and risks contracting the virus from an actual sick person at the facility. They ask those people who may have been in contact with this virus who have not seen symptoms to self-isolate for 14 days & contact provincial health teams if they have fever, cough, or problems breathing. ",,28/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1053537348348777?__tn__=-R,07/04/2020,
4279,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,,2nd diagnostic lab opened today ,,30/03/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1055005361535309?__tn__=-R,07/04/2020,
4280,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,,Supplies from China received today ,,02/04/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1057171484652030?__tn__=-R,07/04/2020,
4281,Afghanistan,AFG,Herat,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,,Machines for health care were sent to Herat Province today ,,03/04/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/photos/a.462600827442435/1057778487924663/?type=3&theater ,07/04/2020,
4282,Afghanistan,AFG,Kandahar Province,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,,A COVID-19 lab is opened using Government of Afghanistan funds.  The hospital is expected to be completed on or about April 7.,,07/04/2020,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1060980997604412?__tn__=-R,07/04/2020,https://af.usembassy.gov/covid-19-information/ 
27,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,Italy until 3rd April,Not applicable,09/03/2020,Tirana Times 09/03/3030,Media,https://www.tiranatimes.com/?p=144490,14/03/2020,
28,Albania,ALB,Tirana and Durres,,Europe,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,No,vehicle movement restrictions,Not applicable,16/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
29,Albania,ALB,,,Europe,Introduction / extension of measures,Social distancing,Schools closure ,No,"All schools are closed from March 10, 2020 until March 23, 2020",Not applicable,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
30,Albania,ALB,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,Until 3rd April,Not applicable,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
31,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Checkpoints within the country,Yes,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,Not applicable,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
32,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,All people entering the country for 15 days,Not applicable,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
34,Albania,ALB,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,No,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,Not applicable,12/03/2020,BalkanInSight,Media,https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/,14/03/2020,https://www.bankofalbania.org/Press/Press_Releases/Decisions_by_the_Supervisory_Council_of_the_Bank_of_Albania_on_12_March_2020.html
35,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,Not applicable,11/03/2020,US Embassy ,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,14/03/2020,
925,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,No,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,,19/03/2020,US embassy of Albania ,Government,https://al.usembassy.gov/updates_covid19/,20/03/2020,
926,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,,19/03/2020,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,20/03/2020,https://al.usembassy.gov/updates_covid19/
931,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital ,,20/03/2020,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,20/03/2020,
932,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Border closure ,Yes,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",,14/03/2020,US Embassy of Albania ,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,20/03/2020,
1938,Albania,ALB,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,"emergency law ""normative act"" that can be approved by the government with immediate effect without the need for the prior approval of parliament which automatically executable fines for issues of non-complience. Decision No.243 of the Council of Ministers on the declaration of natural disaster situation  pursuant to Articles 100, 170, 174, para.1, and 175, para.2, of the Constitution. This provides the same terms and is regulated through the same constitutional provisions which govern “the state of emergency”. ",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,https://acaps.sharepoint.com/:w:/r/sites/covid-19response/_layouts/15/Doc.aspx?sourcedoc=%7B4BD7DA89-4077-44C8-B6C3-75F03E1E90C8%7D&file=20200331%20Global-%20States%20of%20emergency.docx&action=default&mobileredirect=true
1939,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,All flights to and from Tirana airport will be suspended ** except Air Albania’s flights to and from Istanbul for humanitarian reasons.,,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,
1940,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Border closure ,Yes,No ferries to and from Italy until april 3,,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,
2001,Albania,ALB,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,"1. Social, cultural or political gatherings, either in enclosed or open-air spaces, are banned and fined: 5 million lek (40,000 euros). 2. Television stations are banned from having more than two people on their talk shows in the same room and will be fined 1 million leks (8,300 euros) for any violations. 3. fines and three-year bans for car drivers if they breach restrictions on movement.",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
2002,Albania,ALB,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,"Traders in food and medicines for unacceptable price rises and up to 10 million leks (83,000 euros) fines, if do not respect safety rules designed to combat infections",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
2003,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,"Private hospitals that refuse to offer their capacities when required can be fined by up to 5 million leks (40,000 euros).",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
2004,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,General recommendations,Yes,"The highest fines, up to 10 million leks (83,000 euros), can be imposed on entities that trade in food or medicine without respecting safety rules designed to combat infections.",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
3740,Albania,ALB,,,Europe,Introduction / extension of measures,Lockdown,Partial lockdown,No,"All restricitive measures (curfew, public service close, limit gatherings etc.) are now indefiitnely suspended until further notice",Not applicable,02/04/2020,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,03/04/2020,
3741,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Curfews,No,"16-hour curfew. Individuals are only allowed to leave their homes from 05:00 to 13:00. All movement is prohibited outside of those windows, including both vehicular traffic and pedestrian movement. Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine. Grocery stores and banks are only permitted to open from 05:00 to 13:00.",Not available,23/03/2020,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,03/04/2020,
3742,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,Yes,"Private car traffic and interurban transport will be banned across eight cities: Durres, Elbasan, Fier, Lezha, Lushnje, Shkodra, Tirana and Vlor between 13 March 06.00 and 16 March 00.00. Roads connecting Tirana and Durres to other parts of the country will also be closed during this timeframe and public transportation closed between/within the two cities.",Not available,23/03/2020,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,03/04/2020,
36,Algeria,DZA,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,Not applicable,05/03/2020,xinhuanet,Media,http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm,14/03/2020,
37,Algeria,DZA,,,Africa,Introduction / extension of measures,Social distancing,Schools closure ,No,until 5th April,Not applicable,12/03/2020,US Embassy ,Government,https://dz.usembassy.gov/covid-19-information/,14/03/2020,
39,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Border checks ,Yes,Entry denied to people with symptoms,Not applicable,12/03/2020,US Embassy ,Government,https://dz.usembassy.gov/covid-19-information/,14/03/2020,
40,Algeria,DZA,,,Africa,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,Not applicable,12/03/2020,qantara 13/03/2020,Media,https://en.qantara.de/content/coronavirus-in-the-islamic-world-the-challenges-of-covid-19,14/03/2020,
961,Algeria,DZA,,,Africa,Introduction / extension of measures,Social distancing,Public services closure ,No,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",,20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
962,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Border closure ,No,All land borders.,,17/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
963,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,International flights suspension,No,"Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).",,20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
964,Algeria,DZA,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Programs to disinfect mass transit and public areas,,20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
978,Algeria,DZA,,,Africa,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Quarantining known confirmed COVID-19 cases within its borders,,18/03/2020,US Embassy of Algeria ,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
1980,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Border closure ,Yes,All neighboring land countries ,,17/03/2020,US Embassy Algeria,Government,https://dz.usembassy.gov/covid-19-information/,24/03/2020,
1981,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,Yes,all domestic flights ,,22/03/2020,US Embassy Algeria,Government,https://dz.usembassy.gov/covid-19-information/,24/03/2020,
1982,Algeria,DZA,,,Africa,Introduction / extension of measures,Lockdown,Partial lockdown,Yes,Bilda (complete confinement - all movement in and out is prohibited) and Algiers ,,23/03/2020,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,24/03/2020,
1983,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Curfews,Yes,Bilda and Algiers from 7 pm to 7 am.,,23/03/2020,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,24/03/2020,
2427,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,No,All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centers.,Not available,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,26/03/2020,
3743,Algeria,DZA,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,Military deployment,Yes,Government implements lockdown and curfew in Blida and Algiers,Not available,23/03/2020,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,03/04/2020,
3744,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Curfews,Yes,"expanded to include provences: Algiers, Batna, Tizi Ouzou, Setif, Tipaza, Constantine, Medea Oran, El Oued, Boumerdes, Bejaia, Ain Defla, Mostaganem and Bordj Bou Arreridj from 7 pm to 7 am.",Not available,27/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,03/04/2020,https://dz.usembassy.gov/covid-19-information/
